hin	71421
mge	243273
mja	243232
syn	1148
sce	559292
mpn	272634
eco	511145
hpy	85962
mth	187420
bsu	224308
afu	224325
bbu	224326
aae	224324
pho	70601
mtu	83332
tpa	243276
ctr	272561
rpr	272947
cel	6239
hpj	85963
cpn	115713
tma	243274
ape	272557
pab	272844
dra	243230
cje	192222
nme	122586
cmu	243161
cpa	115711
dme	7227
nma	122587
cpj	138677
xfa	160492
vch	243277
pae	208964
buc	107806
tac	273075
hal	64091
bha	272558
uur	273119
ath	3702
tvo	273116
mlo	266835
ece	155864
lla	272623
pmu	272843
mle	272631
ecs	386585
ccr	190650
spy	160490
sau	158879
sav	158878
mtc	83331
sso	273057
mpu	272635
cac	272562
spn	170187
sme	266834
spr	171101
rco	272944
sto	273063
ype	214092
sty	220341
stm	99287
lmo	169963
lin	272626
ecj	316407
ana	103690
atu	176299
rso	267608
bme	224914
pai	178306
cpe	195102
pfu	186497
spo	284812
fnu	190304
mka	190192
spm	186103
mac	188937
tte	273068
mma	192952
xcc	190485
xac	190486
sco	100226
sam	196620
bas	198804
cte	194439
spg	198466
tel	197221
sag	208435
ypk	187410
oih	221109
blo	206672
pfa	36329
bms	204722
sfl	198214
lil	189518
son	211586
smu	210007
wbr	36870
cgl	196627
cef	196164
san	211110
ecu	284813
ecc	199310
mpe	272633
vvu	216895
bja	224911
sep	176280
bab	224915
ctc	212717
xft	183190
ppu	160488
lpl	220668
twh	203267
tws	218496
pst	223283
sps	193567
vpa	223926
stt	209261
bth	226186
efa	226185
cbu	227377
cca	227941
sma	227882
bce	226900
sfx	198215
ban	198094
neu	228410
mga	710127
mbo	233413
hhe	235279
rba	243090
hdu	233412
cpt	182082
pma	167539
bfl	203907
bpe	257313
bpa	257311
bbr	257310
pmm	59919
pmt	74547
syw	84588
pgi	242619
wsu	273121
cvi	243365
gvi	251221
plu	243265
vvy	196600
cdi	257309
neq	228908
rpa	258594
poy	262768
gsu	243231
mpa	262316
tde	243275
ljo	257314
bba	264462
wol	163164
mmy	272632
bca	222523
syc	269084
mmp	267377
ypm	229193
lic	267671
ago	284811
cpv	353152
tth	262724
dvu	882
pcu	264201
ppr	298386
lmf	265669
cme	280699
mmo	267748
pto	263820
bar	261594
btk	281309
bhe	283166
bqu	283165
sar	282458
sas	282459
bat	260799
aci	202950
eca	218491
mfl	265311
pac	267747
cal	237561
lxx	281090
spa	286636
dps	177439
rty	257363
bga	290434
yps	273123
